exp_id,change_description,baseline_f1,new_f1,delta_f1,baseline_auc,new_auc,delta_auc,baseline_std,new_std,fp,fn,verdict
R12_baseline,R1-R2 best on V11 features (R2_combined),0.8499,0.8499,+0.0000,0.8545,0.8545,+0.0000,0.0367,0.0367,32,23,BASELINE
3.1,Add 17 keypoint confidence scores,0.8499,0.8554,+0.0055,0.8545,0.8680,+0.0135,0.0367,0.0415,28,24,KEEP
3.2,Replace binary cross-body with soft continuous,0.8499,0.8584,+0.0085,0.8545,0.8574,+0.0028,0.0367,0.0320,24,26,KEEP
3.3,Add 36 acceleration features (2nd-order velocity),0.8499,0.8674,+0.0174,0.8545,0.8878,+0.0333,0.0367,0.0206,27,21,KEEP
3.4,Add 17 motion magnitude features,0.8499,0.8628,+0.0128,0.8545,0.8706,+0.0160,0.0367,0.0248,28,22,KEEP
3.5,Add hand velocity correlation,0.8499,0.8678,+0.0178,0.8545,0.8752,+0.0207,0.0367,0.0231,28,21,KEEP
R3_combined,Round 3 all kept features combined,0.8499,0.8412,-0.0087,0.8545,0.8508,-0.0037,0.0367,0.0467,33,24,REVERT
